Name,Fit Summary,Fit Breakdown,Tags,Notes
01f783caccf95c23f9d6725d635d3799.jpg,"Hot-weather casual built on menswear staples. Tucked-in and unfussy.","Navy linen button-up, khaki pleated shorts, brown leather belt, brown penny loafers, tortoiseshell sunglasses","summer, city walking, warm-weather, casual, loafers, linen, tailored shorts",
1f60660396929c43f860ebc3fa169dd6.jpg,"Mild-weather casual with military outerwear and worn denim.","Olive jungle jacket, ivory button-down shirt, mid-wash jeans","transitional, military surplus, denim, casual, citywear, long sleeves",
2abb257b68aec55abd1728b3d6b16bea.jpg,"Mild-weather city outfit with vintage details and casual structure.","Chambray button-up shirt, white pleated trousers, green varsity sweater (tied), brown suede loafers, tortoiseshell glasses, wristwatch","mild-weather, city walking, chambray, loafers, tucked-in, pleated trousers, retro influence, layered",
2ac1e7f6eec8f2fe4bc7e78ab698fbb8.jpg,"Smart casual look built on neutral basics. Sockless loafers and glasses add polish.","Heathered crewneck sweater, khaki chinos, black shell tassel loafers, tortoiseshell glasses","smart casual, knitwear, chinos, loafers, minimal, neutral tones, sockless",
2db6351b591b1b96f15af68abf5313dc.jpg,"Casual monochrome outfit with vintage details and artist energy.","White graphic t-shirt, white pleated trousers, black high-top canvas sneakers","casual, monochrome, vintage-inspired, sneakers, graphic tee, pleated trousers, cuffed",
2ecffece920ee9d888aa375e3e97a424.jpg,"Hot-weather look with bold accessories and casual downtown energy.","Blue striped camp-collar shirt, white swim trunks, black sunglasses, wristwatch, gold necklace","hot-weather, swim trunks, camp collar, New York summer, unbuttoned, sunglasses, jewelry, humid",
3f136a1953382a1641057602aba34035 1.jpg,"Everyday casual with military influence and confident accessories.","Olive jungle jacket, white t-shirt, white jeans, round sunglasses, bracelets, wristwatch","military surplus, casual, jungle jacket, white denim, jewelry, sunglasses, rolled sleeves",
5c11e22555ffc64b71371498709ac79b.jpg,"Hot-weather outfit with sporty staples and a classic Mediterranean café look.","Green Lacoste polo shirt, white shorts, black wristwatch, bracelet","hot-weather, polo shirt, athletic, shorts, Lacoste, Mediterranean, casual, seated",
6cc1bdbf3721684840fe3df3dd32a705.jpg,"Summer outfit grounded in mid-century leisurewear, anchored by a textured Adret shirt and soft tailoring.","Ivory textured camp-collar shirt (Adret), tan trousers, black sunglasses","summer, camp collar, textured fabric, soft tailoring, Adret, mid-century, neutrals, sunglasses",
7b6cf66e33a0fe8d3e5e7146ef7d3d57.jpg,"Relaxed casual pairing of a soft tee and ripped denim, offset by Alden shell tassel loafers.","Relaxed white t-shirt, light-wash ripped jeans, color 8 shell tassel loafers (Alden), wristwatch, bracelet","casual, high-low, shell cordovan, Alden, tassel loafers, distressed denim, t-shirt, sockless, rolled cuffs",
7f2c244be8ec86ed29723c37102b021b.jpg,"Monochrome casual with artist-studio energy and worn-in staples.","White t-shirt, white jeans, white high-top Converse sneakers","casual, monochrome, t-shirt, white denim, Converse, sneakers, cuffed, minimalist, studiowear",
7fbf6412987fe1c4757baff6de5bfc2a.jpg,"Tonal denim layers paired with refined hippie-style sandals.","Indigo chore coat, white t-shirt, dark-wash jeans, black leather sandals","denim, workwear, chore coat, jeans, t-shirt, sandals, tonal, layered, seated, hippie-adjacent",
9ad6e46e5fc041d0cbcbbb40a1ff74ec.jpg,"Simple, classic outfit with a touch of Western leathercraft and barroom atmosphere.","White oxford shirt, khaki chinos, embossed leather belt, amber glasses (tucked in), drink in hand","oxford shirt, chinos, embossed leather belt, Western detail, classic, drinking, barroom, subdued, tucked-in, seated",
9eb627c385083f3c5606f5567f68b2ab.jpg,"Warm-weather coastal outfit pairing military outerwear with breezy linen trousers.","Olive jungle jacket, white t-shirt, white drawstring linen trousers, brown leather belt, sunglasses, wristwatch","warm-weather, coastal, military surplus, jungle jacket, linen trousers, drawstring, sunglasses, tucked-in",
14da856decc87ed7a1d0f479ec72b011.jpg,"Lightweight city outfit with French workwear roots and playful accessories.","Navy chore jacket, striped Breton shirt, white high-waisted trousers, brown suede loafers, heart print tote bag, sunglasses","spring, French workwear, chore jacket, Breton shirt, loafers, high-waisted trousers, streetwear-adjacent, playful accessory, citywear, tucked-in",
19ad294936ca8742a2d12919797f9418.jpg,"Warm-weather casual with preppy staples and a sporty cap.","Red striped oxford shirt, sage green pleated chinos, brown suede loafers, navy baseball cap, round eyeglasses","warm-weather, preppy, striped shirt, oxford cloth, chinos, pleated trousers, loafers, baseball cap, tucked-in, seated",
19b5758c14beb695993ff9c550a44dcc.jpg,"Playful mix of tropical print and utilitarian fatigue pants, balanced with classic footwear.","Tropical short-sleeve button-up shirt, white undershirt, olive herringbone fatigue pants, black leather loafers, round eyeglasses, wristwatch","tropical shirt, fatigues, herringbone twill, loafers, high-low, warm-weather, relaxed, print shirt, tucked-in undershirt",
34c18e408746ae88a1bac857715326e1.jpg,"Relaxed continental style with a linen shirt, cargo trousers, and brown leather fisherman sandals.","White linen shirt, stone cargo pants, brown leather fisherman sandals, eyeglasses, wristwatch, bulldog","linen shirt, cargo pants, sandals, fisherman sandals, warm-weather, continental, casual, relaxed, citywear, seated, dog",
